permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
5037030734,CND1000455V3,SHANGHAI CIVIL ENGINEERING CO LTD OF CREC,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
5076948219,INE0P7E08013,Apl Apollo Building Products Pvt Ltd,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5082471237,INE0KIN08028,Meerut Budaun Expressway Pvt Ltd,OK,,,,,,,,,OK,,,,,,,False,[]
5067844617,INE01P807013,DBL Bellary Byrapura Highways Pvt Ltd,OK,,,,,,,,,,,,,,,,False,[]
5000483564,US8560061017,State Bank of The Lakes,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000008422,US8576941111,Stations Holding Co Inc,EXCLUDED,,,EXCLUDED,,EXCLUDED,,,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'str_006_sec', 'str_007_sect']"
4298324218,CH0001503710,Andritz Hydro AG,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295917396,INE038G01019,Anheuser Busch Inbev India Ltd,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4296942172,XS0165607747,Marks & Spencer Financial Services PLC,OK,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4297103265,XS0188853526,HSBC Capital Funding (Euro 3) LP,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4296259450,XS0236951207,Altadis Emisiones Financieras SA,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4297113783,XS0221627135,Union Fenosa Preferentes SA,,,,,,,,OK,,,,,,,,,False,[]
4296058839,XS0112914907,FSA Global Funding Ltd,,,,,,,,,,OK,,,,,,,False,[]
4296876976,XS0121371842,ArcelorMittal Tubular Products Luxembourg SA,OK,OK,OK,EXCLUDED,OK,EXCLUDED,,,OK,OK,EXCLUDED,,,,OK,OK,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
4296777653,XS0105235088,Deutsche Bank/DB Ireland PLC,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
4296552271,XS0077750676,Guangdong Investment Finance (Cayman) Ltd,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4297101591,XS0072389322,Sojitz Corp of America,,,,EXCLUDED,,EXCLUDED,,,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
4296862027,XS0147053929,Jackson National Life Funding LLC,,,,,,,,OK,,,,,,,,,False,[]
5000682416,XS0095376439,Deutsche Bank Capital Trust I,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296730082,XS0073767666,Deutsche Bank Securities Inc,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296125195,XS0150821782,LG Philips Displays Finance LLC,FLAG,,FLAG,FLAG,,,,FLAG,,FLAG,FLAG,,,,FLAG,,False,[]
